,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BP23_NODE_73_length_2987_cov_1_240405,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Centovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_772_length_680_cov_0_132379,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Hudisavirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_784_length_676_cov_0_524324,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_840_length_653_cov_0_259398,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_856_length_649_cov_0_573864,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,McMurdo Ice Shelf pond-associated circular DNA virus-3,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_862_length_646_cov_0_300952,Aedes albopictus densovirus,Vira,Unclassified,Parvoviridae,Brevidensovirus,Dipteran brevidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BP23_NODE_875_length_639_cov_0_511583,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_89_length_2521_cov_1_061250,Mosquito dicistrovirus,Vira,Picornavirales,Dicistroviridae,Unclassified,Centovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_910_length_628_cov_0_347140,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_913_length_627_cov_0_610672,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Sierra dome spider associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_926_length_622_cov_0_385230,Faecal-associated gemycircularvirus 11,Vira,Unclassified,Genomoviridae,Gemykroznavirus,Rabbit associated gemykroznavirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_957_length_608_cov_0_217659,RNA viruses,Vira,Unclassified,Virgaviridae,Hordeivirus,Lychnis ringspot virus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_963_length_607_cov_0_102881,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1067_length_968_cov_0_421488,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1139_length_939_cov_0_667482,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_114_length_2159_cov_0_570167,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Spider associated circular virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_11_length_4586_cov_6_044121,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,Beet ringspot virus,Comovirinae,Unclassified,Unclassified,Unclassified
BP24_NODE_1348_length_881_cov_0_488158,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Circular genetic element sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1355_length_880_cov_0_212121,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1437_length_860_cov_0_583221,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1492_length_849_cov_0_961538,all,Vira,Unclassified,Genomoviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1499_length_848_cov_0_306740,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 24,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1533_length_841_cov_0_700000,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1585_length_831_cov_0_274648,unclassified Phycodnaviridae,Vira,Unclassified,Phycodnaviridae,Unclassified,Orpheovirus IHUMI-LCC2,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1633_length_822_cov_0_191155,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1845_length_785_cov_0_399096,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Basavirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_1848_length_784_cov_1_093514,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,unidentified circular ssDNA virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_205_length_1770_cov_1_607641,Faeces associated gemycircularvirus 20,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Chicken associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2061_length_751_cov_0_480952,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2132_length_739_cov_0_315534,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Human blood-associated dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2197_length_731_cov_0_268852,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Avon-Heathcote Estuary associated circular virus 22,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2494_length_696_cov_0_269565,environmental samples,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae 19 LDMD-2013,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2533_length_691_cov_1_396491,Faeces associated gemycircularvirus 20,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Chicken associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2571_length_687_cov_0_224382,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2664_length_677_cov_0_302158,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_270_length_1616_cov_4_120401,unclassified Sinaivirus,Vira,Unclassified,Unclassified,Sinaivirus,Lake Sinai Virus NE,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2797_length_662_cov_0_136784,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_2994_length_644_cov_0_279159,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Basavirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_31_length_3515_cov_13_156747,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3209_length_624_cov_0_367793,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3241_length_622_cov_0_067864,ssDNA nonenveloped viruses,Vira,Unclassified,Cruciviridae,Unclassified,Cruciviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3270_length_619_cov_0_477912,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circovirus-like genome DCCV-10,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3299_length_617_cov_0_213710,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3305_length_616_cov_0_240404,unclassified Prasinovirus,Vira,Unclassified,Phycodnaviridae,Prasinovirus,Yellowstone lake phycodnavirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3458_length_603_cov_0_360996,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Shahe picorna-like virus 10,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3489_length_600_cov_0_459290,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Circular genetic element sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3793_length_578_cov_0_218818,environmental samples,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3800_length_578_cov_0_113786,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3827_length_576_cov_0_285714,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_3830_length_576_cov_0_191209,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circovirus-like genome DCCV-10,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_402_length_1410_cov_13_056633,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,Beet ringspot virus,Comovirinae,Unclassified,Unclassified,Unclassified
BP24_NODE_4292_length_548_cov_0_831382,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_4417_length_541_cov_13_502381,Large Satellite RNAs,Vira,Unclassified,Unclassified,Unclassified,Grapevine fanleaf virus satellite RNA,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_4691_length_529_cov_0_578431,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_4724_length_528_cov_0_228501,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_478_length_1330_cov_2_703888,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,TBRV,Comovirinae,Unclassified,Unclassified,Unclassified
BP24_NODE_5129_length_510_cov_0_313625,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Circular genetic element sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_5238_length_505_cov_0_429688,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_5240_length_505_cov_0_361979,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Penicillium marneffei partitivirus-1,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_5247_length_505_cov_0_296875,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_5298_length_503_cov_0_387435,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Odonata-associated circular virus-2,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_529_length_1273_cov_0_689236,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured marine virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_731_length_1143_cov_0_545988,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Odonata-associated circular virus-8,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_74_length_2525_cov_5_233777,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_8_length_4812_cov_7_688126,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,Beet ringspot virus,Comovirinae,Unclassified,Unclassified,Unclassified
BP24_NODE_960_length_1010_cov_0_564679,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP24_NODE_96_length_2290_cov_1_137391,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP25_NODE_153_length_764_cov_0_544323,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP25_NODE_4_length_10404_cov_2331_755130,RNA viruses,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP25_NODE_54_length_1359_cov_0_194669,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BP26_NODE_275_length_578_cov_0_407002,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BP26_NODE_7_length_3632_cov_1_826545,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP27_NODE_104_length_1514_cov_0_601579,Pacific flying fox faeces associated gemycircularvirus-2,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Pteropus associated gemycircularvirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_124_length_1410_cov_0_365400,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-18,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_159_length_1183_cov_0_316384,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_226_length_974_cov_0_219226,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_314_length_784_cov_0_199095,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_33_length_2592_cov_6_323756,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-18,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_393_length_662_cov_0_817006,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_441_length_616_cov_0_197980,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_498_length_572_cov_0_181818,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_526_length_551_cov_0_237209,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_541_length_540_cov_0_572792,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP27_NODE_556_length_531_cov_0_200000,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP29_NODE_129_length_529_cov_0_362745,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP29_NODE_137_length_521_cov_0_142500,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP29_NODE_80_length_669_cov_0_563869,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP2_NODE_11_length_2442_cov_8_707023,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,White clover cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP2_NODE_157_length_807_cov_0_395044,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Parus major densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BP31_NODE_119_length_1143_cov_1_047945,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Pacific flying fox faeces associated circular DNA virus-7,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_1960_length_628_cov_0_307692,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_26_length_2319_cov_1_322566,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_3494_length_561_cov_0_313636,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_38_length_2038_cov_1_361502,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_41_length_1930_cov_17_934771,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Pacific flying fox faeces associated circular DNA virus-7,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_43_length_1912_cov_4_266890,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP31_NODE_4499_length_534_cov_0_336562,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-19,Unclassified,Unclassified,Unclassified,Unclassified
BP33_NODE_458_length_623_cov_0_603586,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP33_NODE_496_length_591_cov_0_719149,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP33_NODE_557_length_553_cov_0_368056,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP33_NODE_67_length_2239_cov_4_012748,Faecal-associated gemycircularvirus-14,Vira,Unclassified,Genomoviridae,Gemykrogvirus,Sewage derived gemykrogvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP33_NODE_68_length_2238_cov_4_020784,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Ambidensovirus sp.,Densovirinae,Unclassified,Unclassified,Unclassified
BP35_NODE_213_length_833_cov_0_349719,unclassified Parvoviridae,Vira,Unclassified,Parvoviridae,Unclassified,Parvoviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP35_NODE_8_length_6159_cov_3073_471514,unclassified Sinaivirus,Vira,Unclassified,Unclassified,Sinaivirus,Lake Sinai virus,Unclassified,Unclassified,Unclassified,Unclassified
BP36_NODE_2_length_9548_cov_2100_318023,RNA viruses,Vira,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Unclassified,Unclassified,Unclassified,Unclassified
BP40_NODE_90_length_1216_cov_0_330594,unclassified Tymoviridae,Vira,Tymovirales,Tymoviridae,Unclassified,Bee Macula-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP41_NODE_319_length_612_cov_0_517312,Sclerotinia sclerotiorum hypovirulence associated DNA virus 1,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Sclerotinia gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP41_NODE_390_length_542_cov_0_180523,Pacific flying fox faeces associated gemycircularvirus-1,Vira,Unclassified,Genomoviridae,Gemygorvirus,Pteropus associated gemygorvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP41_NODE_58_length_1673_cov_1_585052,unclassified Gemycircularvirus,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Gila monster-associated gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified
BP41_NODE_69_length_1514_cov_0_481694,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP45_NODE_11_length_4402_cov_6_114693,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP45_NODE_92_length_919_cov_0_344612,unclassified Circovirus,Vira,Unclassified,Circoviridae,Circovirus,Giant panda circovirus 3,Unclassified,Unclassified,Unclassified,Unclassified
BP45_NODE_93_length_910_cov_0_319392,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_125_length_1596_cov_24_035932,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 4,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_153_length_1397_cov_0_586207,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Fresh Meadows densovirus 3,Densovirinae,Unclassified,Unclassified,Unclassified
BP46_NODE_295_length_957_cov_0_651914,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_318_length_910_cov_0_432193,all,Vira,Unclassified,Bidnaviridae,Bidensovirus,Bombyx mori bidensovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_345_length_874_cov_0_529880,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,Dill cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_352_length_862_cov_0_502024,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,Dill cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_357_length_852_cov_0_837209,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BP46_NODE_376_length_822_cov_0_664765,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Fresh Meadows densovirus 3,Densovirinae,Unclassified,Unclassified,Unclassified
BP46_NODE_44_length_2466_cov_347_055011,unclassified Thogotovirus,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Bourbon virus,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BP46_NODE_562_length_642_cov_0_130518,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Volivirus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP47_NODE_3_length_3070_cov_3_738555,unclassified ssRNA positive-strand viruses,Vira,Unclassified,Unclassified,Unclassified,CBPV,Unclassified,Unclassified,Unclassified,Unclassified
BP47_NODE_68_length_590_cov_3_319829,unclassified ssRNA positive-strand viruses,Vira,Unclassified,Unclassified,Unclassified,CBPV,Unclassified,Unclassified,Unclassified,Unclassified
BP47_NODE_6_length_2208_cov_4_185913,unclassified ssRNA positive-strand viruses,Vira,Unclassified,Unclassified,Unclassified,CBPV,Unclassified,Unclassified,Unclassified,Unclassified
BP48_NODE_155_length_599_cov_1_767782,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei toti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP48_NODE_37_length_1861_cov_5_466667,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP48_NODE_9_length_4882_cov_1_115312,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP49_NODE_1003_length_523_cov_0_104478,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP49_NODE_25_length_4750_cov_1_478505,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Rhopalosiphum padi virus,Unclassified,Unclassified,Unclassified,Unclassified
BP49_NODE_40_length_3549_cov_1_069428,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Rhopalosiphum padi virus,Unclassified,Unclassified,Unclassified,Unclassified
BP49_NODE_430_length_839_cov_0_401114,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Scheffersomyces segobiensis virus L,Unclassified,Unclassified,Unclassified,Unclassified
BP49_NODE_501_length_762_cov_0_374415,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Scheffersomyces segobiensis virus L,Unclassified,Unclassified,Unclassified,Unclassified
BP4_NODE_24_length_1121_cov_31_277000,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,GFLV,Comovirinae,Unclassified,Unclassified,Unclassified
BP4_NODE_2_length_3636_cov_10_518634,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BP4_NODE_30_length_853_cov_0_428962,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Darwin bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BP4_NODE_79_length_542_cov_0_441805,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Darwin bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BP4_NODE_84_length_527_cov_0_214286,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BP4_NODE_89_length_503_cov_0_507853,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BP50_NODE_1055_length_682_cov_0_151515,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_110_length_1782_cov_1_016857,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_1178_length_649_cov_0_412879,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_1180_length_649_cov_0_261364,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_1463_length_585_cov_0_310345,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_1512_length_576_cov_0_189011,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_154_length_1499_cov_0_468070,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP50_NODE_1828_length_527_cov_0_482759,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_1835_length_526_cov_0_320988,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Pteropus associated gemycircularvirus 10,Unclassified,Unclassified,Unclassified,Unclassified
BP50_NODE_197_length_1367_cov_0_160514,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
