SRR1239308.Contig_13771_375.084_length_1202	1202
SRR1239308.Contig_15023_729.913_length_3061	3061
SRR1239308.Contig_20749_8.22171_length_1107	1107
SRR1239308.Contig_21292_539.789_length_2763	2763
SRR1239308.Contig_21293_306.203_length_1032	1032
SRR1239308.Contig_22282_8.78637_length_3615	3615
SRR1239309.Contig_560_21.947_length_586	586
SRR1239309.Contig_1979_127.858_length_641	641
SRR1239309.Contig_3402_33.8366_length_5852	5852
SRR1239309.Contig_4671_38.4073_length_3246	3246
SRR1239309.Contig_5241_32.3612_length_726	726
SRR1239309.Contig_5330_6.85607_length_819	819
SRR1239309.Contig_6990_59.9937_length_812	812
SRR1239309.Contig_7601_14.7696_length_1995	1995
SRR1239309.Contig_9707_10.0934_length_791	791
SRR1239309.Contig_10906_56.5422_length_5835	5835
SRR1239309.Contig_12362_6.95921_length_780	780
SRR1239309.Contig_13139_43.9013_length_2473	2473
SRR1239309.Contig_14352_116.574_length_713	713
SRR1239309.Contig_15131_27.6105_length_536	536
SRR1239309.Contig_15700_16.0294_length_1006	1006
SRR1239309.Contig_16549_6.69032_length_795	795
SRR1239309.Contig_17076_93.9003_length_953	953
SRR1239309.Contig_19868_24.3576_length_1052	1052
SRR1239309.Contig_21706_82.4189_length_550	550
SRR1239309.Contig_22831_6.98705_length_1333	1333
SRR1239309.Contig_24404_7.32468_length_790	790
SRR1239309.Contig_24904_8.63749_length_911	911
SRR1239309.Contig_25443_10.1207_length_948	948
SRR1239310.Contig_5868_19.1552_length_703	703
SRR1239310.Contig_7556_22.9171_length_961	961
SRR1239310.Contig_11085_19.441_length_961	961
SRR1239310.Contig_16430_3180.19_length_1769	1769
SRR1239310.Contig_16593_19.9591_length_509	509
SRR1239310.Contig_17539_7.00188_length_551	551
SRR1239310.Contig_18500_86.3069_length_5976	5976
SRR1239310.Contig_18519_9.3363_length_1144	1144
SRR1239310.Contig_18805_27.4632_length_605	605
SRR1239310.Contig_20620_2430.41_length_628	628
SRR1239310.Contig_27059_6876.82_length_521	521
SRR1254950.Contig_10686_7150.88_length_655	655
SRR1254951.Contig_1262_2887.6_length_738	738
SRR1254951.Contig_12567_46958.7_length_1190	1190
SRR1254951.Contig_13507_84706_length_1304	1304
SRR1254954.Contig_10583_60.0559_length_503	503
SRR1254957.Contig_6626_1912.82_length_1956	1956
SRR1254957.Contig_18055_125.496_length_1363	1363
SRR1254957.Contig_26509_74.6002_length_983	983
SRR1254957.Contig_26556_250.602_length_6746	6746
SRR1254957.Contig_29519_27.1596_length_5364	5364
SRR1254957.Contig_36355_1551.12_length_4579	4579
SRR1254958.Contig_24400_96036.6_length_1573	1573
SRR1254959.Contig_21259_270.484_length_2768	2768
SRR1254959.Contig_34656_55.3805_length_1200	1200
SRR1255009.Contig_18127_146.592_length_2119	2119
SRR1255009.Contig_29506_763.766_length_7867	7867
SRR1255010.Contig_12164_9.32448_length_1037	1037
SRR1255010.Contig_24793_21.7138_length_1271	1271
SRR1255010.Contig_34785_31.6038_length_3685	3685
SRR1255011.Contig_9478_2040.3_length_1142	1142
SRR1255011.Contig_16742_2227.77_length_609	609
SRR1255011.Contig_18635_1236.27_length_867	867
SRR1255011.Contig_24404_2170.35_length_1832	1832
SRR1255013.Contig_1129_22521.3_length_585	585
SRR1255013.Contig_4644_8293.52_length_824	824
SRR1255013.Contig_8803_18.3498_length_506	506
SRR1255013.Contig_11728_4105.62_length_1028	1028
SRR1255013.Contig_13492_9.25089_length_582	582
SRR1255013.Contig_17321_18.5389_length_753	753
SRR1255014.Contig_27479_12727_length_648	648
SRR1255014.Contig_29411_18445.5_length_963	963
SRR1255064.Contig_13149_21726_length_6582	6582
SRR1255066.Contig_26928_36.3562_length_1115	1115
SRR1255068.Contig_3522_50659.1_length_867	867
SRR1255068.Contig_5081_26053.6_length_5835	5835
SRR1255068.Contig_12951_7815.21_length_3051	3051
SRR1255149.Contig_9317_8718.28_length_1831	1831
SRR1255150.Contig_3738_10572.4_length_519	519
SRR1255150.Contig_7431_11211.1_length_596	596
SRR1255150.Contig_11203_55706.7_length_739	739
SRR1255150.Contig_14364_2653.36_length_715	715
SRR1255150.Contig_16607_5962.61_length_649	649
SRR1255152.Contig_2054_11671.1_length_539	539
SRR1255152.Contig_2170_5.49515_length_535	535
SRR1255152.Contig_2493_10.226_length_1843	1843
SRR1255152.Contig_3320_5.0202_length_1802	1802
SRR1255152.Contig_3931_208.77_length_4321	4321
SRR1255152.Contig_4814_13.3475_length_2765	2765
SRR1255152.Contig_4934_8.28379_length_3209	3209
SRR1255152.Contig_4944_310.881_length_931	931
SRR1255152.Contig_5189_6.32326_length_781	781
SRR1255152.Contig_6445_193.687_length_2195	2195
SRR1255152.Contig_6668_5.97401_length_751	751
SRR1255152.Contig_7113_137.859_length_1797	1797
SRR1255152.Contig_9951_12.5111_length_1955	1955
SRR1255152.Contig_12609_8.32406_length_1026	1026
SRR1255152.Contig_12867_5.90752_length_831	831
SRR1255152.Contig_13449_7.5794_length_1078	1078
SRR1255152.Contig_13769_11.8609_length_1314	1314
SRR1255152.Contig_14210_14.8594_length_4879	4879
SRR1255152.Contig_14874_8.63636_length_537	537
SRR1255152.Contig_14892_9.38806_length_891	891
SRR1255152.Contig_14913_5.86349_length_1302	1302
SRR1255152.Contig_15257_4.87552_length_735	735
SRR1255152.Contig_15479_17.1488_length_2319	2319
SRR1255152.Contig_15601_7.43182_length_504	504
SRR1255152.Contig_15680_7.09994_length_1641	1641
SRR1255152.Contig_15683_263.183_length_1489	1489
SRR1255152.Contig_16056_31.0788_length_3852	3852
SRR1255152.Contig_16420_9.44228_length_791	791
SRR1255152.Contig_16509_460.731_length_4393	4393
SRR1255152.Contig_17116_4.43478_length_595	595
SRR1255152.Contig_17877_7.38815_length_543	543
SRR1255152.Contig_17938_9.38776_length_2666	2666
SRR1255152.Contig_18606_49.5999_length_1792	1792
SRR1255152.Contig_18815_12588.9_length_614	614
SRR1255152.Contig_18926_4.77379_length_661	661
SRR1255152.Contig_19986_12.8419_length_1924	1924
SRR1255152.Contig_20096_6.41434_length_592	592
SRR1255152.Contig_20249_3011.31_length_908	908
SRR1255152.Contig_20632_9.41434_length_1987	1987
SRR1255152.Contig_20682_7.73958_length_596	596
SRR1255152.Contig_20893_4.14118_length_530	530
SRR1255152.Contig_21392_5.94966_length_894	894
SRR1255152.Contig_21434_1648.17_length_1032	1032
SRR1255152.Contig_21708_15.7259_length_881	881
SRR1255152.Contig_22016_4.85391_length_903	903
SRR1255152.Contig_22117_2828.59_length_617	617
SRR1255152.Contig_22325_7.77479_length_615	615
SRR1255152.Contig_22651_9.33477_length_2108	2108
SRR1255152.Contig_22739_12.3385_length_3107	3107
SRR1255152.Contig_22795_41.7179_length_6390	6390
SRR1255152.Contig_23364_64.9937_length_4638	4638
SRR1255152.Contig_23416_5.94901_length_726	726
SRR1255152.Contig_23427_6.00561_length_555	555
SRR1255152.Contig_24078_7.1531_length_2071	2071
SRR1255152.Contig_25603_24.6355_length_843	843
SRR1255152.Contig_25636_11.8087_length_3517	3517
SRR1255152.Contig_26700_14.7993_length_2103	2103
SRR1255152.Contig_27150_74.5987_length_3671	3671
SRR1255152.Contig_27827_17.508_length_3510	3510
SRR1255152.Contig_28151_196.683_length_1845	1845
SRR1255152.Contig_28167_6.54062_length_697	697
SRR1255152.Contig_29487_9.16687_length_823	823
SRR1255152.Contig_29892_6.16427_length_507	507
SRR1255152.Contig_29949_64.5624_length_877	877
SRR1255152.Contig_30502_9.96219_length_549	549
SRR1255152.Contig_32570_83.9759_length_2511	2511
SRR1255152.Contig_32792_62.5252_length_1132	1132
SRR1255152.Contig_33370_106.876_length_2117	2117
SRR1255152.Contig_33479_7.57423_length_1293	1293
SRR1255152.Contig_34341_8.04194_length_2190	2190
SRR1255153.Contig_2442_11.6974_length_724	724
SRR1255153.Contig_2881_5.359_length_1254	1254
SRR1255153.Contig_3127_8.27123_length_809	809
SRR1255153.Contig_5278_6.76391_length_1278	1278
SRR1255153.Contig_5858_8.38508_length_1856	1856
SRR1255153.Contig_6046_12.7294_length_1258	1258
SRR1255153.Contig_6141_6.0432_length_1131	1131
SRR1255153.Contig_7899_9.55873_length_1280	1280
SRR1255153.Contig_8090_4.96774_length_547	547
SRR1255153.Contig_9125_8.26464_length_2359	2359
SRR1255153.Contig_9751_5.05624_length_589	589
SRR1255153.Contig_9954_6.82416_length_1601	1601
SRR1255153.Contig_10576_15.632_length_1039	1039
SRR1255153.Contig_11439_5.8878_length_635	635
SRR1255153.Contig_11714_46.2487_length_969	969
SRR1255153.Contig_13149_6.28189_length_655	655
SRR1255153.Contig_13380_19.7763_length_1558	1558
SRR1255153.Contig_13499_7.91083_length_1119	1119
SRR1255153.Contig_14300_4.12329_length_604	604
SRR1255153.Contig_14431_9.79727_length_533	533
SRR1255153.Contig_14993_6.05996_length_587	587
SRR1255153.Contig_15258_21.0858_length_754	754
SRR1255153.Contig_15306_13.2555_length_1378	1378
SRR1255153.Contig_15559_5.81699_length_632	632
SRR1255153.Contig_16395_12.8976_length_606	606
SRR1255153.Contig_18277_40.7088_length_542	542
SRR1255153.Contig_18921_8.94417_length_826	826
SRR1255153.Contig_20238_24.3618_length_758	758
SRR1255153.Contig_20320_5.14358_length_814	814
SRR1255153.Contig_20509_28.5455_length_1624	1624
SRR1255153.Contig_21742_13.1596_length_1004	1004
SRR1255153.Contig_21959_15.665_length_1641	1641
SRR1255153.Contig_23097_7.87057_length_839	839
SRR1255153.Contig_23189_22.0359_length_2418	2418
SRR1255153.Contig_23504_7.5894_length_926	926
SRR1255153.Contig_24882_30.8821_length_1970	1970
SRR1255153.Contig_26083_10.2128_length_1101	1101
SRR1255153.Contig_26518_8953.13_length_3386	3386
SRR1255153.Contig_27563_5.15867_length_1104	1104
SRR1255153.Contig_28263_12.0388_length_1798	1798
SRR1255153.Contig_29108_7.37154_length_526	526
SRR1255153.Contig_29446_10.3542_length_1056	1056
SRR1255153.Contig_30138_17.5776_length_1888	1888
SRR1255153.Contig_31192_24.5045_length_2135	2135
SRR1255153.Contig_31399_50.1971_length_776	776
SRR1255153.Contig_33955_14.86_length_856	856
SRR1255154.Contig_2239_28.1555_length_573	573
SRR1255154.Contig_5546_6.03026_length_1441	1441
SRR1255154.Contig_10606_151.365_length_716	716
SRR1255154.Contig_11202_11.1066_length_4373	4373
SRR1255154.Contig_11294_25.9039_length_2081	2081
SRR1255154.Contig_13980_8.82851_length_953	953
SRR1255154.Contig_19871_38882.2_length_815	815
SRR1255154.Contig_20793_165.443_length_688	688
SRR1255154.Contig_21086_28000_length_684	684
SRR1255154.Contig_28264_5.81897_length_1412	1412
SRR1255260.Contig_29135_35127_length_10137	10137
SRR1255326.Contig_8191_33431.5_length_632	632
SRR1255326.Contig_8192_32238.1_length_620	620
SRR1255326.Contig_12390_23438.8_length_1091	1091
SRR1255326.Contig_28249_23713.7_length_990	990
SRR1255326.Contig_30531_19902.3_length_876	876
SRR1255456.Contig_5362_8.0082_length_630	630
SRR1255456.Contig_14670_12906.1_length_3908	3908
SRR1255456.Contig_15902_9.55696_length_1047	1047
SRR1255541.Contig_22031_29.7453_length_1716	1716
SRR1255541.Contig_26290_592.263_length_1514	1514
SRR1255542.Contig_16452_133.608_length_2726	2726
SRR1255542.Contig_27746_216.527_length_902	902
SRR1255543.Contig_7875_9.3552_length_904	904
SRR1255543.Contig_26026_7.46354_length_596	596
SRR1255543.Contig_38775_8.12762_length_1830	1830
SRR1255545.Contig_1352_382.695_length_2723	2723
SRR1255545.Contig_6272_51.4582_length_2126	2126
SRR1255545.Contig_9441_386.68_length_1435	1435
SRR1255545.Contig_17644_191.752_length_2052	2052
SRR1255545.Contig_35522_46.5157_length_5236	5236
SRR1255546.Contig_2630_73.4165_length_541	541
SRR1255546.Contig_2690_5.29679_length_549	549
SRR1255546.Contig_2739_80.0709_length_824	824
SRR1255546.Contig_2880_10.9667_length_3145	3145
SRR1255546.Contig_3014_9.882_length_3842	3842
SRR1255546.Contig_6496_5.45723_length_698	698
SRR1255546.Contig_6647_7.05106_length_823	823
SRR1255546.Contig_6967_13.3217_length_1854	1854
SRR1255546.Contig_7251_6.9741_length_522	522
SRR1255546.Contig_7369_38.2707_length_5099	5099
SRR1255546.Contig_8823_7.67591_length_705	705
SRR1255546.Contig_8868_18.6454_length_849	849
SRR1255546.Contig_11500_26.1122_length_3077	3077
SRR1255546.Contig_12020_103.139_length_1095	1095
SRR1255546.Contig_12084_9.39138_length_623	623
SRR1255546.Contig_14459_35.2512_length_2675	2675
SRR1255546.Contig_14796_5.56586_length_969	969
SRR1255546.Contig_16778_83.7412_length_1546	1546
SRR1255546.Contig_16779_16.6427_length_591	591
SRR1255546.Contig_17211_15.1957_length_817	817
SRR1255546.Contig_17826_11.0092_length_1764	1764
SRR1255546.Contig_18527_85.2657_length_1040	1040
SRR1255546.Contig_20597_56.5213_length_1614	1614
SRR1255546.Contig_21684_17.5278_length_1009	1009
SRR1255546.Contig_21909_7.82175_length_1574	1574
SRR1255546.Contig_21971_69.3005_length_579	579
SRR1255546.Contig_22829_10.458_length_2509	2509
SRR1255546.Contig_28949_97.232_length_757	757
SRR1255546.Contig_30845_12.397_length_3423	3423
SRR1255546.Contig_33225_52.7009_length_3918	3918
SRR1255546.Contig_33359_5.04303_length_508	508
SRR1255546.Contig_33627_12.2575_length_688	688
SRR1255546.Contig_34371_10.8429_length_1204	1204
SRR1255546.Contig_34517_6.82184_length_716	716
SRR1255546.Contig_34619_7.60124_length_504	504
SRR1255546.Contig_34908_68.3737_length_1018	1018
SRR1255546.Contig_36729_6.67877_length_571	571
SRR1255546.Contig_40570_320.668_length_803	803
SRR1269199.Contig_24201_6.27949_length_1444	1444
SRR1269199.Contig_35370_11.1317_length_2798	2798
SRR1269199.Contig_37657_16.1895_length_648	648
SRR1284947.Contig_715_6.06849_length_531	531
SRR1284947.Contig_952_233.627_length_2568	2568
SRR1284947.Contig_1588_151.408_length_572	572
SRR1284947.Contig_5561_14.8294_length_524	524
SRR1284947.Contig_6399_207.22_length_717	717
SRR1284947.Contig_6975_203.393_length_819	819
SRR1284947.Contig_10415_515.009_length_677	677
SRR1284947.Contig_14072_502.454_length_1136	1136
SRR1284947.Contig_14157_208.819_length_683	683
SRR1284947.Contig_15188_87.3217_length_1313	1313
SRR1284947.Contig_16534_449.489_length_1457	1457
SRR1284947.Contig_16535_359.361_length_1529	1529
SRR1284947.Contig_16591_229.948_length_524	524
SRR1284947.Contig_16592_325.921_length_524	524
SRR1284947.Contig_17721_224.085_length_1023	1023
SRR1284947.Contig_18850_6.08211_length_1311	1311
SRR1284947.Contig_19210_226.551_length_688	688
SRR1284947.Contig_19377_174.617_length_1682	1682
SRR1284947.Contig_25784_225.153_length_1005	1005
SRR1284947.Contig_25990_66.6968_length_1801	1801
SRR1284947.Contig_26022_246.515_length_830	830
SRR1284947.Contig_26547_105.946_length_2516	2516
SRR1284947.Contig_27947_1876.97_length_578	578
SRR1284947.Contig_32776_160.917_length_1553	1553
SRR1284947.Contig_34978_7.06476_length_545	545
SRR1284947.Contig_36601_288.63_length_947	947
SRR1284947.Contig_36853_22.9126_length_1187	1187
SRR1284947.Contig_37732_40.3568_length_5869	5869
SRR1284947.Contig_39698_877.064_length_539	539
SRR1284947.Contig_40430_6.98671_length_848	848
SRR1284947.Contig_40499_127.437_length_698	698
SRR1284947.Contig_42149_17.4339_length_1329	1329
SRR1284947.Contig_45159_65.9912_length_2072	2072
SRR1284947.Contig_45531_43.7447_length_3913	3913
SRR1284947.Contig_46352_332.649_length_843	843
SRR1284947.Contig_47181_244.153_length_698	698
SRR1284947.Contig_49531_171.556_length_563	563
SRR1300620.Contig_33788_17.475_length_679	679
SRR1300620.Contig_68427_5.25032_length_799	799
SRR1380976.Contig_1537_2217.18_length_1658	1658
SRR1380976.Contig_3715_3826.07_length_4959	4959
SRR1380976.Contig_5263_1970.48_length_1124	1124
SRR1380976.Contig_5741_1140.49_length_856	856
SRR1380984.Contig_325_42.4399_length_8247	8247
SRR1380984.Contig_2297_2451.23_length_583	583
SRR1380984.Contig_3537_12162.6_length_703	703
SRR1380984.Contig_5068_122.395_length_4012	4012
SRR1380984.Contig_5738_76.7463_length_3733	3733
SRR1380984.Contig_6168_65.2461_length_1308	1308
SRR1380984.Contig_6511_6379.88_length_1796	1796
SRR1380984.Contig_9210_6833.34_length_3754	3754
SRR1380984.Contig_11506_100.887_length_6036	6036
SRR1380984.Contig_12159_3543.6_length_1885	1885
SRR1380984.Contig_13392_13044.5_length_912	912
SRR1380984.Contig_13736_3803.18_length_2033	2033
SRR1380984.Contig_15401_4756.84_length_3122	3122
SRR1386316.Contig_1036_1962.92_length_1462	1462
SRR1386316.Contig_2908_926.077_length_525	525
SRR1386316.Contig_6186_8701.1_length_3638	3638
SRR1386316.Contig_9279_4459.08_length_527	527
SRR1386316.Contig_10175_49.3494_length_1431	1431
SRR1386316.Contig_12081_7241.61_length_2048	2048
SRR1386316.Contig_13228_4580.96_length_999	999
SRR1386316.Contig_16716_1546.54_length_723	723
SRR1386316.Contig_16718_4615.63_length_1634	1634
SRR1388774.Contig_1113_16680.9_length_10221	10221
SRR1388774.Contig_11656_59641.6_length_629	629
SRR1388774.Contig_12688_7.99583_length_1459	1459
SRR1388774.Contig_16907_19.8301_length_685	685
SRR1388774.Contig_17528_10.0404_length_614	614
SRR1388774.Contig_23629_6.79372_length_975	975
SRR1388774.Contig_26199_7195.5_length_519	519
SRR1388774.Contig_27769_5.45622_length_671	671
SRR1388774.Contig_33840_42863.7_length_1064	1064
SRR1388774.Contig_35094_18.7097_length_2221	2221
SRR1388774.Contig_35774_9.11897_length_1575	1575
SRR1390626.Contig_3991_12.7134_length_512	512
SRR1390626.Contig_23441_14.3582_length_1279	1279
SRR1390626.Contig_24717_19525.1_length_9834	9834
SRR1406762.Contig_3937_41.9967_length_3966	3966
SRR1406762.Contig_5850_52.3458_length_1139	1139
SRR1406762.Contig_13464_27.7739_length_741	741
SRR1406762.Contig_13634_6106.6_length_1337	1337
SRR1406762.Contig_16491_3657.87_length_3986	3986
SRR1406762.Contig_19914_41.3556_length_737	737
SRR1406762.Contig_21412_28.6414_length_1760	1760
SRR1406762.Contig_24546_1984.99_length_1455	1455
SRR1406762.Contig_26870_244.491_length_3258	3258
SRR1406762.Contig_27641_34.8035_length_595	595
SRR1406762.Contig_30985_927.674_length_1384	1384
SRR1406762.Contig_31467_29.7591_length_875	875
SRR1406762.Contig_32451_521.241_length_3987	3987
SRR1406762.Contig_36090_28.9612_length_1257	1257
SRR1407793.Contig_7578_5835.04_length_1102	1102
SRR1408090.Contig_943_9336.67_length_889	889
SRR1408090.Contig_2570_24.673_length_809	809
SRR1408090.Contig_3847_14.6553_length_1076	1076
SRR1408090.Contig_4515_60.7969_length_2103	2103
SRR1408090.Contig_5087_9.73937_length_561	561
SRR1408090.Contig_6520_67977.7_length_1338	1338
SRR1408090.Contig_6521_55088.4_length_921	921
SRR1408090.Contig_6700_202.52_length_4542	4542
SRR1408090.Contig_8329_21305.8_length_606	606
SRR1408090.Contig_8455_30640.5_length_698	698
SRR1408090.Contig_8567_8.24044_length_569	569
SRR1408090.Contig_10580_47334.4_length_593	593
SRR1408090.Contig_10677_12.0358_length_3150	3150
SRR1408090.Contig_11521_8.39713_length_647	647
SRR1408090.Contig_12955_31133.6_length_2158	2158
SRR1408090.Contig_14878_38515.5_length_685	685
SRR1408090.Contig_17649_65.6347_length_666	666
SRR1502920.Contig_13245_6.03659_length_758	758
SRR1502924.Contig_1797_13.737_length_1119	1119
SRR1502924.Contig_2409_45.8231_length_3072	3072
SRR1502924.Contig_3459_79.184_length_1455	1455
SRR1502924.Contig_5196_33.1553_length_1443	1443
SRR1502924.Contig_5505_24.1011_length_1722	1722
SRR1502924.Contig_5679_6.9879_length_681	681
SRR1502924.Contig_5866_76.5976_length_783	783
SRR1502924.Contig_8067_11.3912_length_521	521
SRR1502924.Contig_10309_23.6516_length_2672	2672
SRR1502924.Contig_11329_18.0641_length_1175	1175
SRR1502924.Contig_11638_60.2378_length_1677	1677
SRR1502924.Contig_15979_6.37948_length_829	829
SRR1502924.Contig_18777_16.5339_length_1876	1876
SRR1502924.Contig_18918_4339.7_length_1732	1732
SRR1502924.Contig_24558_674.047_length_1877	1877
SRR1502924.Contig_24831_12.4725_length_621	621
SRR1502924.Contig_25423_4.08366_length_534	534
SRR1502924.Contig_25634_6.24719_length_643	643
SRR1502924.Contig_25770_35.6882_length_1136	1136
SRR1502924.Contig_26454_12.8868_length_868	868
SRR1502924.Contig_26823_17.7993_length_1958	1958
SRR1502929.Contig_1881_48.1871_length_4765	4765
SRR1502929.Contig_2645_4.28516_length_539	539
SRR1502929.Contig_6452_186.058_length_1669	1669
SRR1502929.Contig_7257_34.1204_length_867	867
SRR1502929.Contig_9548_6.75679_length_904	904
SRR1502929.Contig_10550_79.0594_length_761	761
SRR1502929.Contig_12011_22.9353_length_1504	1504
SRR1502929.Contig_12717_207.627_length_1525	1525
SRR1502929.Contig_13349_66.8167_length_1580	1580
SRR1502929.Contig_18785_27.3433_length_1325	1325
SRR1502929.Contig_21491_26.7429_length_3101	3101
SRR1502929.Contig_21932_7.10019_length_539	539
SRR1502929.Contig_26302_18.7061_length_1762	1762
SRR1502929.Contig_28088_238.133_length_592	592
SRR1502929.Contig_28624_228.169_length_554	554
SRR1502929.Contig_30040_28.8136_length_1120	1120
SRR1502929.Contig_32406_38.4807_length_981	981
SRR1502929.Contig_34266_6.83237_length_712	712
SRR1502929.Contig_35091_6.90333_length_1313	1313
SRR1502929.Contig_35875_60.9621_length_5003	5003
SRR1502929.Contig_37499_33.981_length_5550	5550
SRR1502931.Contig_102_10.8216_length_883	883
SRR1502931.Contig_1148_11.8762_length_1086	1086
SRR1502931.Contig_3896_758.505_length_1336	1336
SRR1502931.Contig_13345_10.0994_length_1468	1468
SRR1502931.Contig_14217_186.385_length_1614	1614
SRR1502931.Contig_16214_419.453_length_1681	1681
SRR1502931.Contig_16481_10.4259_length_1922	1922
SRR1502931.Contig_16687_9.43824_length_1202	1202
SRR1502931.Contig_16735_6.24658_length_604	604
SRR1502931.Contig_20383_12.6752_length_2649	2649
SRR1502931.Contig_22391_72.9855_length_5759	5759
SRR1502931.Contig_22780_10.1277_length_678	678
SRR1502931.Contig_25184_341.667_length_726	726
SRR1502931.Contig_25537_12.9928_length_2230	2230
SRR1502931.Contig_26253_13.3755_length_558	558
SRR1502931.Contig_26974_9.03292_length_749	749
SRR1502931.Contig_26984_11.5004_length_1439	1439
SRR1502931.Contig_27724_12.114_length_520	520
SRR1502931.Contig_27896_9.31034_length_919	919
SRR1502931.Contig_27912_311.522_length_939	939
SRR1502931.Contig_29715_12.9732_length_877	877
SRR1502940.Contig_4577_9.8748_length_651	651
SRR1502940.Contig_15502_160.338_length_2639	2639
SRR1502940.Contig_15672_21.8276_length_751	751
SRR1502942.Contig_8274_4.65942_length_572	572
SRR1502942.Contig_8612_18.9082_length_1566	1566
SRR1502942.Contig_9784_8.1787_length_574	574
SRR1502942.Contig_16562_53.2462_length_617	617
SRR1502942.Contig_22693_8.60481_length_602	602
SRR1502942.Contig_25374_11.7552_length_1944	1944
SRR1502942.Contig_26490_40.7182_length_1067	1067
SRR1502942.Contig_37723_11.8036_length_626	626
SRR1502945.Contig_3263_5.45254_length_789	789
SRR1502945.Contig_11368_32.3989_length_945	945
SRR1502945.Contig_11500_27.5318_length_648	648
SRR1502950.Contig_5874_40.3425_length_1366	1366
SRR1502950.Contig_12421_17.5071_length_935	935
SRR1502950.Contig_12885_6.72431_length_1003	1003
SRR1502950.Contig_22027_4.02241_length_600	600
SRR1502954.Contig_17564_10.1693_length_1036	1036
SRR1502954.Contig_24450_8.58_length_520	520
SRR1502962.Contig_265_50.7379_length_2187	2187
SRR1502962.Contig_1790_32.7084_length_1042	1042
SRR1502962.Contig_2643_74.2757_length_3694	3694
SRR1502962.Contig_2732_92.9849_length_3272	3272
SRR1502962.Contig_3637_7.10335_length_1094	1094
SRR1502962.Contig_4195_7.32921_length_828	828
SRR1502962.Contig_4261_8.21267_length_951	951
SRR1502962.Contig_5226_5.94483_length_600	600
SRR1502962.Contig_5926_3.52705_length_519	519
SRR1502962.Contig_7387_105.505_length_660	660
SRR1502962.Contig_8249_77.6915_length_4253	4253
SRR1502962.Contig_9084_11.6867_length_1153	1153
SRR1502962.Contig_9881_140.834_length_1561	1561
SRR1502962.Contig_10904_18.7516_length_7481	7481
SRR1502962.Contig_13130_24.4155_length_1204	1204
SRR1502962.Contig_15140_128.217_length_1068	1068
SRR1502962.Contig_15547_36.598_length_1234	1234
SRR1502962.Contig_15811_51.7894_length_2152	2152
SRR1502962.Contig_16435_20.1439_length_2731	2731
SRR1502962.Contig_16466_7.92122_length_2635	2635
SRR1502962.Contig_17198_265.304_length_1231	1231
SRR1502962.Contig_17633_36.7896_length_1408	1408
SRR1502962.Contig_18371_37.124_length_1310	1310
SRR1502962.Contig_24185_68.2879_length_1729	1729
SRR1502962.Contig_24270_22.3788_length_2750	2750
SRR1502962.Contig_24563_1052.06_length_1953	1953
SRR1502968.Contig_1483_7.70743_length_666	666
SRR1502968.Contig_17205_26.5603_length_916	916
SRR1502970.Contig_2787_14.6765_length_1034	1034
SRR1502970.Contig_3356_127.485_length_3545	3545
SRR1502970.Contig_7593_190.467_length_1478	1478
SRR1502970.Contig_9317_7.16427_length_647	647
SRR1502971.Contig_1312_27.9867_length_1297	1297
SRR1502971.Contig_2633_98.4804_length_3076	3076
SRR1502971.Contig_5480_11.2823_length_1522	1522
SRR1502971.Contig_6613_66.6547_length_1135	1135
SRR1502971.Contig_9489_4.21521_length_559	559
SRR1502971.Contig_11105_31.3855_length_1945	1945
SRR1502971.Contig_17584_13.3955_length_680	680
SRR1502971.Contig_19752_36.0319_length_961	961
SRR1502971.Contig_19970_12.1558_length_726	726
SRR1502971.Contig_21309_63.3761_length_589	589
SRR1502971.Contig_22648_6.14132_length_763	763
SRR1502971.Contig_29932_5.89493_length_553	553
SRR1502971.Contig_29994_3.96998_length_553	553
SRR1502971.Contig_30887_89.534_length_1580	1580
SRR1502971.Contig_32748_15.9144_length_2367	2367
SRR1502971.Contig_33584_12.8869_length_515	515
SRR1502971.Contig_33737_13.5487_length_882	882
SRR1502971.Contig_34428_21.9466_length_563	563
SRR1502971.Contig_36381_24.9296_length_4154	4154
SRR1502971.Contig_38052_30.0753_length_538	538
SRR1502975.Contig_267_33.092_length_2760	2760
SRR1502975.Contig_2311_25.3117_length_912	912
SRR1502975.Contig_4120_296.861_length_539	539
SRR1502975.Contig_9330_14.8116_length_795	795
SRR1502975.Contig_9536_7.55704_length_1142	1142
SRR1502975.Contig_12036_8.88759_length_705	705
SRR1502975.Contig_12375_9.46406_length_660	660
SRR1502975.Contig_16072_32.9465_length_2299	2299
SRR1502975.Contig_17437_75.3636_length_504	504
SRR1502975.Contig_17582_8.94255_length_577	577
SRR1502975.Contig_19803_3641.16_length_4694	4694
SRR1502975.Contig_21957_216.965_length_831	831
SRR1502975.Contig_26634_6.2512_length_852	852
SRR1502975.Contig_29846_9.73907_length_752	752
SRR1502975.Contig_29882_9.24054_length_839	839
SRR1502976.Contig_7613_14.7518_length_713	713
SRR1502976.Contig_13168_5.8675_length_1054	1054
SRR1502977.Contig_5361_6.73455_length_570	570
SRR1502977.Contig_11701_5.46269_length_623	623
SRR1502977.Contig_13896_3.3662_length_517	517
SRR1502985.Contig_513_85.3793_length_2480	2480
SRR1502985.Contig_988_12.7187_length_891	891
SRR1502985.Contig_4349_187.904_length_1727	1727
SRR1502985.Contig_6617_16.1224_length_592	592
SRR1502985.Contig_15125_269.49_length_3534	3534
